Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime
01/02/16 10:00,61,Monday,0,30,48,19.98333333
21/12/15 10:00,61,Monday,0,11,53,20.48333333
18/04/16 10:00,61,Monday,0,34,64,19.25
25/04/16 10:00,61,Monday,0,23,52,20.18333333
02/05/16 10:00,61,Monday,0,28,57,17.13333333
09/05/16 10:00,61,Monday,0,26,55,17.25
07/03/16 10:00,61,Monday,0,26,51,18.93333333
14/03/16 10:00,61,Monday,0,28,56,19.1
21/03/16 10:00,61,Monday,0,26,56,19.83333333
28/03/16 10:00,61,Monday,0,24,51,17.66666667
08/02/16 10:00,61,Monday,0,34,57,16.11666667
15/02/16 10:00,61,Monday,0,30,67,17.36666667
22/02/16 10:00,61,Monday,0,28,55,14.53333333
29/02/16 10:00,61,Monday,0,20,55,17.83333333
16/05/16 10:00,61,Monday,0,32,58,20.91666667
25/01/16 10:00,61,Monday,0,26,54,22.4
23/05/16 10:00,61,Monday,0,30,55,19.43333333
30/05/16 10:00,61,Monday,0,30,58,18.43333333
06/06/16 10:00,61,Monday,0,26,56,17.88333333
13/06/16 10:00,61,Monday,0,23,61,19.33333333
20/06/16 10:00,61,Monday,0,34,58,18.45
27/06/16 10:00,61,Monday,0,32,53,16.21666667
04/07/16 10:00,61,Monday,0,26,56,15.85
11/07/16 10:00,61,Monday,0,32,61,17
18/07/16 10:00,61,Monday,0,23,56,14.63333333
25/07/16 10:00,61,Monday,0,26,57,16.86666667
01/08/16 10:00,61,Monday,0,26,58,18.73333333
08/08/16 10:00,61,Monday,0,30,56,15.31666667
15/08/16 10:00,61,Monday,0,26,54,15.53333333
22/08/16 10:00,61,Monday,0,26,56,15.25
12/09/16 10:00,61,Monday,0,28,56,14.33333333
12/04/16 10:30,64,Tuesday,1,30,53,19.88333333
02/02/16 10:30,64,Tuesday,1,26,48,19.3
22/12/15 10:30,64,Tuesday,1,26,57,19.93333333
19/04/16 10:30,64,Tuesday,1,30,64,18.16666667
26/04/16 10:30,64,Tuesday,1,26,53,22
03/05/16 10:30,64,Tuesday,1,26,56,13.4
10/05/16 10:30,64,Tuesday,1,30,56,19.33333333
08/03/16 10:30,64,Tuesday,1,28,59,16.86666667
15/03/16 10:30,64,Tuesday,1,30,53,18.45
22/03/16 10:30,64,Tuesday,1,30,56,22.9
29/03/16 10:30,64,Tuesday,1,32,53,18.9
02/02/16 10:30,64,Tuesday,1,26,48,19.3
09/02/16 10:30,64,Tuesday,1,28,59,21.08333333
16/02/16 10:30,64,Tuesday,1,30,62,17.66666667
23/02/16 10:30,64,Tuesday,1,28,61,17.66666667
17/05/16 10:30,64,Tuesday,1,34,64,22.73333333
26/01/16 10:30,64,Tuesday,1,28,52,17.36666667
24/05/16 10:30,64,Tuesday,1,23,57,20.11666667
31/05/16 10:30,64,Tuesday,1,34,58,20.56666667
07/06/16 10:30,64,Tuesday,1,26,57,19.83333333
14/06/16 10:30,64,Tuesday,1,23,56,16.03333333
21/06/16 10:30,64,Tuesday,1,32,62,18.46666667
28/06/16 10:30,64,Tuesday,1,34,53,16.85
05/07/16 10:30,64,Tuesday,1,23,58,22.66666667
12/07/16 10:30,64,Tuesday,1,23,55,16.35
19/07/16 10:30,64,Tuesday,1,23,55,19.15
26/07/16 10:30,64,Tuesday,1,28,62,18.8
02/08/16 10:30,64,Tuesday,1,26,56,17.3
09/08/16 10:30,64,Tuesday,1,28,56,15.86666667
16/08/16 10:30,64,Tuesday,1,26,54,14.51666667
23/08/16 10:30,64,Tuesday,1,26,59,17.51666667
30/08/16 10:30,64,Tuesday,1,32,60,19.01666667
06/09/16 10:30,64,Tuesday,1,32,61,16.13333333
13/09/16 10:30,64,Tuesday,1,34,61,14.98333333
13/04/16 19:00,115,Wednesday,2,30,57,20.9
03/02/16 19:00,115,Wednesday,2,27,55,21.31666667
16/12/15 19:00,115,Wednesday,2,29,46,33.01666667
20/04/16 19:00,115,Wednesday,2,28,63,27.83333333
27/04/16 19:00,115,Wednesday,2,24,55,19.58333333
02/03/16 19:00,115,Wednesday,2,26,61,17.93333333
04/05/16 19:00,115,Wednesday,2,26,58,13.5
11/05/16 19:00,115,Wednesday,2,28,57,21.36666667
09/03/16 19:00,115,Wednesday,2,26,63,19.55
16/03/16 19:00,115,Wednesday,2,30,69,23.01666667
17/12/15 19:30,118,Thursday,3,29,54,22.01666667
14/04/16 19:30,118,Thursday,3,24,57,20.75
21/04/16 19:30,118,Thursday,3,23,62,17.9
28/04/16 19:30,118,Thursday,3,24,57,20.43333333
03/03/16 19:30,118,Thursday,3,26,61,17.23333333
05/05/16 19:30,118,Thursday,3,28,61,19.43333333
12/05/16 19:30,118,Thursday,3,23,57,20.73333333
10/03/16 19:30,118,Thursday,3,11,61,21.81666667
17/03/16 19:30,118,Thursday,3,34,67,18.95
24/03/16 19:30,118,Thursday,3,23,58,22.41666667
18/12/15 20:00,121,Friday,4,11,53,26.11666667
15/04/16 20:00,121,Friday,4,23,61,19.56666667
22/04/16 20:00,121,Friday,4,23,58,18.23333333
29/04/16 20:00,121,Friday,4,24,55,19.58333333
12/02/16 20:00,121,Friday,4,27,60,17.13333333
04/03/16 20:00,121,Friday,4,27,63,19.66666667
06/05/16 20:00,121,Friday,4,28,58,21.06666667
13/05/16 20:00,121,Friday,4,32,58,20.6
11/03/16 20:00,121,Friday,4,11,54,22.88333333
18/03/16 20:00,121,Friday,4,28,58,22.86666667
25/03/16 20:00,121,Friday,4,23,58,20
05/02/16 20:00,121,Friday,4,29,55,12.38333333
12/02/16 20:00,121,Friday,4,27,60,17.13333333
19/02/16 20:00,121,Friday,4,26,53,20.4
26/02/16 20:00,121,Friday,4,26,58,20.35
,,Saturday,5,28,61,17.13333333
,,Saturday,5,30,58,18.23333333
,,Saturday,5,26,57,19.58333333
,,Saturday,5,26,63,18.95
,,Saturday,5,30,69,17.23333333
,,Saturday,5,26,54,17.23333333
,,Saturday,5,26,57,17.13333333
,,Saturday,5,30,62,18.95
,,Saturday,5,28,57,19.58333333
,,Saturday,5,30,61,17.13333333
,,Saturday,5,30,61,17.23333333
,,Saturday,5,32,57,18.95
,,Saturday,5,26,61,17.13333333
,,Saturday,5,28,67,19.58333333
,,Saturday,5,30,58,17.13333333
,,Saturday,5,28,53,18.95
,,Sunday,6,34,61,14.51666667
,,Sunday,6,28,58,16.35
,,Sunday,6,23,55,12.38333333
,,Sunday,6,34,60,14.51666667
,,Sunday,6,26,61,13.35
,,Sunday,6,34,67,12.38333333
,,Sunday,6,28,58,14.13333333
,,Sunday,6,23,53,12.38333333
,,Sunday,6,34,61,14.35
,,Sunday,6,26,58,12.38333333
,,Sunday,6,32,53,13.13333333
